CATEGORÍA,SUBCATEGORÍA,ESTÁ EN PRO???,TÍTULO / HIPERVÍNCULO,URL ANTIGUA,URL NUEVA,IDIOMA,AUTOR,TRADUCCIÓN,URL CONTENIDO  INGLÉS
SNIPPET,,,Cómo procesar un formulario mediante programación en Drupal 8,https://www.ladrupalera.com/drupal/snippet/formularios/como-procesar-un-formulario-mediante-programacion-en-drupal-8,https://www.ladrupalera.com/es/drupal/snippet/formularios/como-procesar-un-formulario-mediante-programacion-en-drupal-8,,,,
SNIPPET,,,Cómo habilitar la configuración de propiedades del nodo en view modes en Drupal 8,https://www.ladrupalera.com/drupal/snippet/rendimiento/como-habilitar-la-configuracion-de-propiedades-del-nodo-en-view-modes-en-drupal-8,https://www.ladrupalera.com/es/drupal/snippet/rendimiento/como-habilitar-la-configuracion-de-propiedades-del-nodo-en-view-modes-en-drupal-8,,,,
SNIPPET,,,"Uso de Drush para ver las entradas del watchdog como un ""tail""",https://www.ladrupalera.com/drupal/snippet/otros/uso-de-drush-para-ver-las-entradas-del-watchdog-como-un-tail,https://www.ladrupalera.com/es/drupal/snippet/otros/uso-de-drush-para-ver-las-entradas-del-watchdog-como-un-tail,,,,
SNIPPET,,,Cambia el tema de tu portal con drush,https://www.ladrupalera.com/drupal/snippet/otros/cambia-el-tema-de-tu-portal-con-drush,https://www.ladrupalera.com/es/drupal/snippet/otros/cambia-el-tema-de-tu-portal-con-drush,,,,
SNIPPET,,,Cómo aplicar un estilo de imagen programáticamente en Drupal,https://www.ladrupalera.com/drupal/snippet/otros/como-aplicar-un-estilo-de-imagen-programaticamente-en-drupal,https://www.ladrupalera.com/es/drupal/snippet/otros/como-aplicar-un-estilo-de-imagen-programaticamente-en-drupal,,,,
SNIPPET,,,Comprobación y creación de tabla,https://www.ladrupalera.com/drupal/snippet/otros/comprobacion-y-creacion-de-tabla,https://www.ladrupalera.com/es/drupal/snippet/otros/comprobacion-y-creacion-de-tabla,,,,
SNIPPET,,,Restablecer contraseña del usuario administrador con Drush en Drupal 7,https://www.ladrupalera.com/drupal/snippet/usuarios/restablecer-contrasena-del-usuario-administrador-con-drush-en-drupal-7,https://www.ladrupalera.com/es/drupal/snippet/usuarios/restablecer-contrasena-del-usuario-administrador-con-drush-en-drupal-7,,,,
SNIPPET,,,Alterar presentación (view mode) de una entidad en su visualización,https://www.ladrupalera.com/drupal/snippet/entidades/alterar-presentacion-view-mode-de-una-entidad-en-su-visualizacion,https://www.ladrupalera.com/es/drupal/snippet/entidades/alterar-presentacion-view-mode-de-una-entidad-en-su-visualizacion,,,,
SNIPPET,,,Eliminar redimensionado textareas,https://www.ladrupalera.com/drupal/snippet/fields/eliminar-redimensionado-textareas,https://www.ladrupalera.com/es/drupal/snippet/fields/eliminar-redimensionado-textareas,,,,
SNIPPET,,,Añadir presentación personalizada a una entidad (view mode),https://www.ladrupalera.com/drupal/snippet/entidades/anadir-presentacion-personalizada-una-entidad-view-mode,https://www.ladrupalera.com/es/drupal/snippet/entidades/anadir-presentacion-personalizada-una-entidad-view-mode,,,,
